date,min_temp,max_temp,avg_temp,atm_pressure,wind_speed,downfall,eff_temp
01.01.2014,-0.8,-5.2,-2.3,953.6,3,1,-6.3
02.01.2014,-2.6,-8.2,-5.3,962.8,4,0,-10.2
03.01.2014,-3.1,-10.4,-6.3,963.0,2,0,-10.0
04.01.2014,-1.7,-8.7,-6.8,957.9,3,8,-11.3
05.01.2014,-4.6,-14.4,-8.9,962.1,5,4,-14.7
06.01.2014,-14.2,-16.9,-16.0,978.1,6,1,-23.0
07.01.2014,-11.9,-18.2,-15.1,976.8,3,1,-20.1
08.01.2014,-7.7,-19.0,-11.5,968.9,3,0,-16.4
09.01.2014,-6.6,-14.6,-8.6,966.0,3,0,-13.2
10.01.2014,-5.6,-12.2,-7.5,971.0,5,0,-13.3
11.01.2014,-7.3,-13.7,-10.3,975.3,2,0,-14.3
12.01.2014,-3.9,-13.7,-7.2,973.2,3,1,-11.6
13.01.2014,-2.5,-10.8,-4.8,970.5,5,0,-10.4
14.01.2014,-1.0,-10.7,-5.7,970.1,3,0,-10.0
15.01.2014,-3.3,-13.5,-9.3,969.3,1,0,-12.6
16.01.2014,-1.0,-13.5,-6.6,971.2,3,0,-11.0
17.01.2014,-2.1,-11.7,-7.0,971.4,3,0,-11.4
18.01.2014,-5.6,-11.4,-7.6,969.6,3,2,-12.0
19.01.2014,-5.5,-12.4,-8.8,975.4,3,3,-13.4
20.01.2014,-4.5,-14.2,-10.0,966.9,2,0,-14.0
21.01.2014,-5.8,-16.4,-12.1,955.9,1,0,-15.5
22.01.2014,-4.0,-15.2,-6.4,953.2,3,0,-10.6
23.01.2014,-7.0,-11.5,-9.5,963.5,2,3,-13.4
24.01.2014,-8.7,-16.2,-13.5,970.5,3,4,-18.4
25.01.2014,-8.4,-19.5,-14.4,956.7,1,0,-18.0
26.01.2014,-11.5,-18.9,-13.8,965.6,7,1,-21.3
27.01.2014,-10.7,-20.8,-15.4,961.8,2,0,-19.8
28.01.2014,-11.7,-20.9,-13.9,956.2,3,2,-18.8
29.01.2014,-13.6,-20.4,-17.2,963.3,4,1,-23.0
30.01.2014,-13.5,-25.2,-19.3,958.2,1,0,-23.2
31.01.2014,-14.4,-25.4,-17.4,956.0,1,0,-21.2
01.02.2014,-16.0,-23.4,-19.4,969.3,5,4,-25.9
02.02.2014,-19.9,-25.9,-21.5,974.7,4,1,-27.5
03.02.2014,-12.4,-25.9,-14.8,972.4,5,0,-21.1
04.02.2014,-13.6,-19.4,-15.7,973.6,4,0,-21.4
05.02.2014,-11.5,-22.2,-17.8,973.2,2,0,-22.3
06.02.2014,-11.8,-23.3,-14.5,977.0,3,0,-19.5
07.02.2014,-12.8,-18.3,-14.4,978.2,4,1,-20.0
08.02.2014,-10.4,-19.8,-15.7,979.7,2,0,-20.1
09.02.2014,-12.5,-23.2,-17.8,975.0,1,0,-21.6
10.02.2014,-13.9,-22.8,-15.9,974.3,4,0,-21.6
11.02.2014,-14.8,-18.0,-16.4,972.5,4,1,-22.1
12.02.2014,-14.8,-22.2,-19.2,971.9,1,0,-23.1
13.02.2014,-14.6,-24.0,-19.5,966.9,1,0,-23.4
14.02.2014,-14.8,-25.8,-19.1,963.5,1,0,-23.0
15.02.2014,-16.0,-23.8,-19.4,969.4,3,0,-24.6
16.02.2014,-15.0,-25.3,-20.3,973.9,1,0,-24.3
