date,min_temp,max_temp,avg_temp,atm_pressure,wind_speed,downfall,eff_temp
01.01.2014,-3.2,-7.1,-5.6,970.3,3,0,-9.7
02.01.2014,-2.7,-15.9,-5.6,971.1,3,1,-9.8
03.01.2014,-20.9,-32.9,-25.3,982.6,1,0,-29.5
04.01.2014,-21.4,-35.0,-26.4,988.6,1,0,-30.7
05.01.2014,-11.9,-22.8,-15.3,985.5,2,0,-19.6
06.01.2014,-12.0,-14.3,-13.2,978.8,3,0,-18.0
07.01.2014,-11.2,-14.0,-12.1,972.7,3,0,-16.8
08.01.2014,-7.0,-12.5,-9.6,969.7,2,1,-13.5
09.01.2014,-1.0,-9.2,-3.2,958.0,3,1,-7.1
10.01.2014,-1.9,-4.5,-3.0,960.9,1,1,-5.6
11.01.2014,-2.7,-6.8,-5.1,961.1,2,0,-8.5
12.01.2014,-0.5,-5.4,-1.8,958.8,3,,-5.6
13.01.2014,-1.0,-3.8,-2.4,960.5,1,0,-5.0
14.01.2014,-1.7,-4.5,-3.3,960.6,3,1,-7.3
15.01.2014,-4.2,-9.9,-6.3,960.3,1,1,-9.2
16.01.2014,-6.2,-12.0,-9.1,968.9,2,0,-12.9
17.01.2014,-8.4,-13.2,-9.6,963.4,4,7,-14.8
18.01.2014,-7.7,-17.5,-11.4,954.7,3,1,-16.1
19.01.2014,-17.0,-28.8,-21.3,960.5,2,0,-26.0
20.01.2014,-19.5,-31.5,-25.1,958.9,1,0,-29.3
21.01.2014,-14.0,-26.4,-18.1,965.8,3,0,-23.2
22.01.2014,-10.7,-16.3,-13.9,974.2,2,0,-18.1
23.01.2014,-17.3,-22.4,-19.7,973.8,2,,-24.3
24.01.2014,-14.4,-31.7,-24.5,975.0,0,0,-28.1
25.01.2014,-18.9,-35.7,-28.1,975.5,0,0,-31.8
26.01.2014,-15.0,-31.1,-24.9,969.8,0,0,-28.5
27.01.2014,-20.2,-31.4,-25.3,968.4,1,1,-29.5
28.01.2014,-24.8,-30.0,-27.6,973.0,2,0,-32.6
29.01.2014,-30.4,-36.7,-33.7,982.1,1,0,-38.4
30.01.2014,-24.4,-38.7,-30.7,987.1,2,0,-35.9
31.01.2014,-22.3,-28.0,-23.3,990.0,4,,-29.4
01.02.2014,-18.9,-29.5,-24.1,995.7,1,0,-28.3
02.02.2014,-17.9,-25.6,-21.2,993.7,2,0,-25.9
03.02.2014,-12.0,-21.3,-15.7,979.0,3,1,-20.7
04.02.2014,-16.7,-28.8,-21.7,970.5,1,0,-25.8
05.02.2014,-18.9,-31.6,-25.8,969.3,1,0,-30.1
06.02.2014,-17.8,-27.8,-21.2,972.6,2,1,-25.9
07.02.2014,-16.4,-22.7,-19.2,979.4,1,0,-23.1
08.02.2014,-14.4,-29.7,-23.2,982.2,0,0,-26.7
09.02.2014,-13.0,-30.5,-20.3,983.1,1,0,-24.3
10.02.2014,-12.0,-18.5,-13.2,980.2,3,1,-18.0
11.02.2014,-10.5,-19.9,-13.8,981.2,1,0,-17.4
12.02.2014,-14.2,-20.7,-17.6,980.1,2,1,-22.1
13.02.2014,-17.3,-22.9,-20.3,978.9,2,,-24.9
14.02.2014,-15.0,-26.2,-20.2,981.1,2,,-24.8
15.02.2014,-5.9,-20.0,-12.5,976.4,2,3,-16.6
16.02.2014,0.7,-11.3,-2.6,972.1,2,0,-6.1
17.02.2014,-1.0,-4.7,-3.2,966.5,3,0,-7.2
18.02.2014,-0.5,-8.0,-3.6,957.7,2,,-6.9
19.02.2014,-4.2,-12.0,-7.7,948.0,2,1,-11.4
20.02.2014,-13.5,-22.5,-18.3,954.3,2,,-22.8
21.02.2014,-20.3,-29.5,-24.2,966.6,2,,-29.1
22.02.2014,-19.9,-32.8,-27.2,980.1,1,0,-31.6
23.02.2014,-15.0,-30.9,-21.7,988.8,2,0,-26.4
24.02.2014,-14.2,-22.0,-15.9,986.0,4,1,-21.6
25.02.2014,-9.5,-14.8,-11.3,983.5,3,1,-16.0
26.02.2014,-4.2,-10.2,-7.2,977.8,4,,-12.2
27.02.2014,-2.7,-6.1,-3.9,979.1,3,0,-7.9
28.02.2014,-2.0,-5.3,-3.7,979.7,1,0,-6.4
01.03.2014,0.2,-11.5,-5.3,981.4,1,0,-8.2
02.03.2014,-0.4,-12.5,-7.3,981.6,0,0,-9.7
03.03.2014,2.4,-15.3,-6.5,980.2,0,0,-8.9
04.03.2014,2.4,-11.9,-4.1,978.5,1,0,-7.0
05.03.2014,1.2,-16.1,-5.8,973.0,1,0,-8.9
06.03.2014,-2.0,-8.9,-5.6,970.1,1,0,-8.5
07.03.2014,-2.4,-10.2,-4.7,975.6,3,,-8.9
08.03.2014,-2.7,-5.2,-3.4,973.3,4,,-8.1
09.03.2014,0.4,-3.3,-0.6,973.9,3,0,-4.3
10.03.2014,0.5,-2.0,-0.9,969.2,5,0,-6.0
11.03.2014,2.4,-4.1,-1.2,962.5,4,0,-5.8
12.03.2014,-1.7,-5.7,-3.4,959.9,3,0,-7.5
13.03.2014,-1.2,-7.3,-2.8,944.1,2,4,-6.0
14.03.2014,-1.0,-8.2,-3.4,942.4,4,1,-8.1
15.03.2014,1.0,-8.4,-1.1,946.4,4,1,-5.6
16.03.2014,7.2,-4.9,1.6,957.7,3,0,-2.3
17.03.2014,5.2,-1.2,1.9,957.0,5,0,-3.0
18.03.2014,-1.2,-3.2,-2.1,942.8,4,,-6.5
19.03.2014,-0.9,-4.4,-2.2,934.8,4,2,-6.7
20.03.2014,-2.0,-8.7,-4.6,949.8,5,0,-10.1
21.03.2014,-1.4,-15.5,-7.2,964.4,2,0,-11.0
22.03.2014,-0.5,-19.9,-5.6,963.4,3,0,-10.0
23.03.2014,2.2,-4.0,-0.2,966.8,3,0,-3.9
24.03.2014,8.9,-4.5,3.5,974.4,2,0,0.8
25.03.2014,8.4,1.9,4.5,971.1,5,0,-0.3
26.03.2014,7.4,-2.5,2.5,966.6,3,,-1.1
27.03.2014,0.7,-6.8,-2.1,968.6,4,0,-6.9
28.03.2014,2.4,-4.6,-1.1,957.3,2,0,-4.5
29.03.2014,-0.9,-5.5,-3.3,959.5,3,4,-7.3
30.03.2014,-0.4,-6.5,-2.9,956.5,2,,-6.2
31.03.2014,-0.2,-4.1,-2.7,942.0,3,4,-6.6
01.04.2014,-1.2,-12.4,-4.6,957.0,3,0,-8.8
02.04.2014,2.9,-13.4,-0.6,958.2,5,0,-5.8
03.04.2014,-0.5,-6.7,-3.1,957.4,5,0,-8.5
04.04.2014,0.0,-9.4,-2.6,964.2,3,0,-6.7
05.04.2014,3.4,-3.0,0.6,966.0,3,,-3.2
06.04.2014,0.7,-2.9,-1.2,956.7,2,1,-4.3
