date,min_temp,max_temp,avg_temp,atm_pressure,wind_speed,downfall,eff_temp
01.01.2014,-1.2,-4.9,-2.9,1000.5,3,0,-6.8
02.01.2014,-0.7,-17.8,-7.7,1004.3,4,2,-12.7
03.01.2014,-25.8,-30.4,-28.4,1018.2,2,,-33.4
04.01.2014,-22.7,-31.7,-27.1,1023.9,1,0,-31.4
05.01.2014,-10.4,-23.6,-15.2,1019.1,3,0,-20.2
06.01.2014,-9.5,-11.7,-10.3,1012.6,4,,-15.6
07.01.2014,-10.0,-12.4,-11.2,1006.2,2,1,-15.2
08.01.2014,-5.5,-11.8,-7.5,1002.3,3,,-11.9
09.01.2014,-2.4,-5.8,-3.7,990.1,3,2,-7.7
10.01.2014,0.0,-4.5,-1.2,994.0,1,,-3.6
11.01.2014,-5.0,-6.3,-5.6,996.8,2,,-9.1
12.01.2014,-0.5,-5.8,-2.2,994.8,4,0,-6.7
13.01.2014,0.0,-3.4,-1.4,994.0,2,,-4.5
14.01.2014,-1.7,-6.6,-3.8,996.2,3,0,-7.8
15.01.2014,-2.0,-4.9,-3.6,994.7,2,,-6.9
16.01.2014,-5.7,-8.5,-7.4,1000.7,2,,-11.1
17.01.2014,-6.9,-10.1,-8.3,1001.4,3,3,-12.7
18.01.2014,-6.7,-10.0,-8.4,988.4,4,4,-13.5
19.01.2014,-15.7,-23.5,-19.3,994.7,2,,-23.9
20.01.2014,-21.4,-30.9,-26.0,992.1,2,,-30.9
21.01.2014,-10.2,-23.9,-15.8,995.1,3,,-20.8
22.01.2014,-10.0,-17.9,-14.1,1006.1,2,0,-18.3
23.01.2014,-15.5,-20.1,-17.2,1006.8,2,,-21.6
24.01.2014,-19.9,-28.5,-23.7,1010.2,1,0,-27.9
25.01.2014,-18.3,-33.2,-26.2,1010.7,1,0,-30.5
26.01.2014,-24.8,-29.0,-27.4,1006.9,0,0,-31.1
27.01.2014,-23.4,-32.0,-27.2,1003.8,0,,-30.9
28.01.2014,-23.9,-28.3,-26.3,1008.0,2,,-31.2
29.01.2014,-33.3,-36.4,-34.9,1019.6,3,,-40.9
30.01.2014,-26.9,-40.2,-33.9,1022.0,1,0,-38.6
31.01.2014,-19.2,-31.8,-23.4,1022.5,2,,-28.2
01.02.2014,-19.4,-24.4,-22.1,1030.1,1,0,-26.2
02.02.2014,-16.5,-28.1,-22.0,1027.6,2,0,-26.7
03.02.2014,-11.0,-20.1,-13.9,1013.3,2,1,-18.2
04.02.2014,-15.4,-18.2,-16.5,1006.2,1,1,-20.3
05.02.2014,-21.4,-26.1,-23.9,1006.7,2,,-28.7
06.02.2014,-16.0,-24.6,-18.5,1010.3,2,1,-23.0
07.02.2014,-16.2,-21.5,-18.7,1016.5,2,,-23.2
08.02.2014,-17.7,-27.1,-24.0,1018.5,0,0,-27.5
09.02.2014,-16.5,-29.8,-22.6,1018.6,1,0,-26.7
10.02.2014,-10.7,-17.9,-13.2,1013.9,1,1,-16.7
11.02.2014,-15.4,-21.4,-18.1,1016.9,3,1,-23.2
12.02.2014,-21.5,-28.2,-24.7,1018.6,1,0,-28.9
13.02.2014,-19.8,-24.9,-22.4,1018.0,3,,-27.8
14.02.2014,-18.9,-28.6,-23.5,1019.8,1,0,-27.7
15.02.2014,-13.5,-23.1,-17.8,1015.0,3,4,-22.9
16.02.2014,-5.9,-14.1,-9.9,1006.2,0,0,-12.6
17.02.2014,-2.0,-8.4,-3.0,999.3,3,1,-6.9
18.02.2014,-1.9,-5.8,-4.0,993.2,1,,-6.7
19.02.2014,-6.4,-9.7,-7.9,983.6,1,3,-11.0
20.02.2014,-18.9,-24.9,-21.8,988.3,4,1,-27.8
21.02.2014,-23.5,-28.8,-25.9,1002.6,3,,-31.5
22.02.2014,-23.8,-34.4,-29.3,1015.2,2,0,-34.4
23.02.2014,-11.9,-32.4,-22.3,1021.9,2,,-27.1
24.02.2014,-11.7,-21.6,-16.8,1018.8,3,1,-21.9
25.02.2014,-6.5,-13.7,-9.4,1015.2,4,0,-14.7
26.02.2014,0.0,-7.8,-2.7,1006.3,4,0,-7.3
27.02.2014,2.9,-1.0,1.4,1008.6,3,0,-2.2
28.02.2014,0.5,-4.0,-1.7,1012.0,1,,-4.3
01.03.2014,-1.0,-12.3,-6.4,1015.2,1,0,-9.4
02.03.2014,-1.0,-11.9,-7.2,1015.0,1,0,-10.3
03.03.2014,-4.2,-13.4,-9.2,1015.6,1,0,-12.5
04.03.2014,-1.2,-14.2,-8.8,1013.1,0,0,-11.4
05.03.2014,-4.0,-12.5,-8.1,1007.9,0,0,-10.7
06.03.2014,-1.7,-10.9,-6.2,1002.2,2,0,-9.9
07.03.2014,-0.5,-6.8,-3.9,1006.8,4,,-8.7
08.03.2014,0.0,-7.0,-2.2,1004.6,3,,-6.1
09.03.2014,3.2,-1.2,1.2,1005.0,3,0,-2.4
10.03.2014,3.7,0.2,2.1,999.7,5,0,-2.8
11.03.2014,3.5,-0.2,1.5,993.0,5,0,-3.4
12.03.2014,1.2,-2.7,-0.2,991.2,4,0,-4.7
13.03.2014,-1.5,-5.4,-3.1,979.5,2,4,-6.3
14.03.2014,0.4,-3.5,-1.2,969.8,6,,-7.0
15.03.2014,3.1,-6.6,-0.8,976.7,5,1,-6.0
16.03.2014,4.2,-1.4,1.4,990.4,4,0,-3.0
17.03.2014,4.7,-1.9,1.7,993.1,5,0,-3.1
18.03.2014,1.5,-0.5,0.7,980.3,6,0,-4.9
19.03.2014,1.7,-1.7,-0.1,966.5,5,,-5.1
20.03.2014,0.4,-3.5,-1.6,978.8,7,1,-8.1
21.03.2014,-0.2,-6.5,-4.2,995.9,3,0,-8.5
22.03.2014,0.4,-12.5,-3.8,996.1,4,0,-8.8
23.03.2014,4.2,-2.0,1.2,996.5,3,,-2.4
24.03.2014,5.9,-4.2,1.4,1006.9,3,0,-2.2
25.03.2014,9.7,2.3,5.6,1000.6,4,0,1.6
26.03.2014,3.2,0.9,1.9,997.3,3,4,-1.5
27.03.2014,2.4,-4.1,-0.5,999.2,5,0,-5.8
28.03.2014,4.5,-1.4,0.6,989.9,4,0,-4.0
29.03.2014,-1.7,-4.0,-2.3,995.5,4,0,-6.9
30.03.2014,0.9,-5.5,-2.7,989.8,3,1,-6.7
31.03.2014,-0.4,-4.5,-2.1,975.7,4,9,-6.5
01.04.2014,1.7,-3.9,-1.7,988.0,3,1,-5.6
02.04.2014,2.5,-8.9,-1.5,995.0,4,0,-6.1
03.04.2014,1.5,-2.4,-0.5,989.0,5,,-5.7
04.04.2014,1.9,-6.2,-1.9,996.7,3,0,-6.0
05.04.2014,5.2,-2.4,1.8,999.6,3,0,-2.0
06.04.2014,1.7,-1.0,0.4,991.7,2,1,-2.5
07.04.2014,3.4,-0.9,1.1,982.8,4,,-3.3
08.04.2014,4.4,-0.5,1.8,984.9,4,,-2.6
09.04.2014,0.7,-4.9,-1.9,985.9,3,1,-5.9
10.04.2014,-0.2,-8.6,-3.9,994.1,2,1,-7.4
11.04.2014,0.0,-10.0,-4.3,1009.1,1,0,-7.4
12.04.2014,5.2,-6.3,0.1,1011.0,4,0,-4.7
13.04.2014,9.0,-2.1,3.9,1009.5,4,0,-0.5
14.04.2014,11.4,-0.3,5.2,1012.1,4,0,1.0
15.04.2014,12.0,-0.1,6.9,1012.7,3,0,3.4
16.04.2014,14.9,1.9,9.1,1011.8,3,0,5.8
17.04.2014,16.7,3.5,10.6,1006.9,3,0,7.4
18.04.2014,9.9,3.2,7.7,1002.8,5,0,3.1
19.04.2014,13.9,-0.3,7.4,1005.0,4,0,3.4
20.04.2014,16.5,2.9,10.7,998.4,5,0,6.2
