date,min_temp,max_temp,avg_temp,atm_pressure,wind_speed,downfall,eff_temp
01.01.2014,1.9,-0.4,0.9,1020.0,2,0,-1.8
02.01.2014,0.7,-1.0,-0.2,1018.1,3,0,-3.9
03.01.2014,1.7,-1.6,-0.3,1017.2,3,0,-4.1
04.01.2014,1.2,-1.5,0.0,1018.0,2,0,-3.0
05.01.2014,0.4,-1.0,-0.4,1018.1,3,0,-4.0
06.01.2014,3.2,-1.2,0.3,1015.9,2,0,-2.6
07.01.2014,5.0,-1.5,2.3,1010.4,1,6,0.3
08.01.2014,3.0,2.2,2.6,1016.2,1,1,0.7
09.01.2014,5.5,1.7,3.8,1010.3,3,0,0.7
10.01.2014,7.9,3.4,5.2,1006.6,3,0,2.3
11.01.2014,7.0,2.4,4.7,1001.9,3,1,1.6
12.01.2014,6.5,1.6,4.3,1005.2,3,,1.1
13.01.2014,5.0,1.4,3.2,999.5,4,4,-0.8
14.01.2014,0.5,-0.2,0.2,1006.9,3,,-3.4
15.01.2014,1.4,-5.0,-2.1,1015.5,2,0,-5.4
16.01.2014,7.7,-4.4,3.2,1006.1,1,0,0.9
17.01.2014,6.4,0.5,3.9,1006.6,2,0,1.4
18.01.2014,9.4,-0.2,2.7,1006.2,2,9,0.2
19.01.2014,9.2,-4.0,1.0,1009.0,4,1,-3.2
20.01.2014,-3.7,-6.5,-4.8,1014.5,3,2,-8.9
21.01.2014,-4.8,-8.8,-7.0,1011.6,6,4,-13.3
22.01.2014,2.9,-5.0,-0.3,999.3,4,3,-4.5
23.01.2014,3.5,-1.5,0.4,1000.6,4,,-3.8
24.01.2014,-2.5,-13.0,-6.5,1007.4,3,,-10.8
25.01.2014,-9.4,-14.5,-12.8,1012.8,2,0,-17.0
26.01.2014,-8.5,-14.4,-10.8,1011.3,4,0,-16.1
27.01.2014,-7.0,-11.7,-8.4,1006.5,5,2,-14.2
28.01.2014,-6.0,-11.5,-7.8,1005.3,5,,-13.5
29.01.2014,-12.9,-18.8,-15.8,1014.0,7,8,-23.4
30.01.2014,-19.7,-21.7,-20.8,1025.3,6,2,-28.1
31.01.2014,-8.4,-24.9,-19.7,1035.5,4,0,-25.6
01.02.2014,-14.2,-23.4,-18.6,1036.5,3,0,-23.8
02.02.2014,-10.4,-17.8,-14.7,1033.6,3,0,-19.7
03.02.2014,-10.2,-17.5,-14.0,1027.5,4,0,-19.6
04.02.2014,-4.2,-15.9,-9.3,1018.2,2,0,-13.2
05.02.2014,-4.5,-11.7,-7.2,1014.6,1,0,-10.2
06.02.2014,-4.7,-6.9,-5.8,1014.7,2,0,-9.3
07.02.2014,-3.0,-10.5,-6.7,1012.2,2,0,-10.4
08.02.2014,1.4,-13.8,-2.9,1012.0,2,0,-6.3
09.02.2014,0.4,-4.8,-1.3,1009.5,3,0,-5.1
10.02.2014,2.4,-1.0,0.9,1006.1,2,2,-2.0
11.02.2014,5.7,0.2,2.0,1010.6,2,0,-0.7
12.02.2014,7.0,-0.9,2.4,1012.5,2,0,-0.2
13.02.2014,2.7,-1.2,0.7,1008.8,3,0,-2.7
14.02.2014,4.5,-0.4,2.1,1004.4,3,0,-1.1
15.02.2014,4.3,-1.0,1.4,1003.1,3,0,-1.9
16.02.2014,4.2,1.4,2.6,1007.6,2,0,0.0
17.02.2014,5.9,0.9,3.7,1008.5,2,0,1.3
18.02.2014,4.5,0.5,3.5,1006.7,1,4,1.7
19.02.2014,6.7,-0.6,2.6,1010.4,3,0,-0.7
20.02.2014,10.7,1.5,6.8,1001.6,3,0,3.9
21.02.2014,5.4,-4.5,2.2,1006.9,2,1,-0.5
22.02.2014,4.0,-4.9,0.2,1014.6,3,0,-3.5
23.02.2014,1.9,-2.0,0.0,1016.6,6,0,-5.6
24.02.2014,0.5,-1.2,-0.4,1016.8,4,0,-4.6
25.02.2014,0.9,-1.4,-0.4,1016.2,5,0,-5.3
26.02.2014,3.4,-0.5,1.5,1012.2,4,0,-2.6
27.02.2014,-0.7,-2.7,-1.5,1012.2,2,1,-4.6
28.02.2014,9.4,-3.0,3.0,1010.4,1,1,1.1
01.03.2014,9.9,2.5,6.1,1010.7,2,5,4.0
02.03.2014,7.5,0.9,3.1,1006.5,3,0,-0.1
03.03.2014,5.7,0.2,3.3,1002.0,4,,-0.4
04.03.2014,7.4,4.2,5.5,1000.5,3,0,2.7
05.03.2014,9.7,2.5,5.8,1004.9,2,0,3.7
06.03.2014,9.4,0.0,4.8,1010.1,2,,2.5
07.03.2014,7.4,-2.5,1.6,1018.7,5,0,-3.4
08.03.2014,6.0,-2.5,2.1,1019.2,6,0,-3.5
09.03.2014,6.2,-0.1,3.1,1012.4,4,1,-0.8
10.03.2014,2.9,0.0,0.7,1011.8,3,2,-2.7
11.03.2014,4.0,0.4,1.9,999.7,2,1,-0.7
12.03.2014,4.4,0.2,2.4,999.4,2,4,-0.1
13.03.2014,5.2,-1.5,2.7,1008.0,2,1,-0.0
14.03.2014,12.4,2.5,7.4,1007.5,5,0,3.0
15.03.2014,14.9,5.5,9.2,1004.2,4,0,5.6
16.03.2014,17.9,2.9,8.6,990.7,4,,5.1
17.03.2014,6.2,1.0,2.8,990.6,7,6,-3.1
18.03.2014,7.7,1.4,5.2,995.2,7,2,-0.6
19.03.2014,12.5,0.7,7.7,1006.0,3,0,4.6
20.03.2014,9.0,7.5,8.2,1000.4,2,13,6.3
21.03.2014,7.9,-2.2,3.2,1012.8,3,1,-0.1
22.03.2014,13.4,-2.6,5.9,1015.7,2,0,3.3
23.03.2014,20.4,-0.2,10.1,1008.8,3,0,7.0
24.03.2014,16.4,0.5,8.6,1006.9,3,0,5.8
25.03.2014,12.9,2.6,7.0,1003.6,3,0,4.3
26.03.2014,16.7,0.5,8.3,1002.8,1,0,6.9
27.03.2014,13.0,0.4,8.0,1005.7,2,0,6.0
28.03.2014,14.0,8.1,9.9,999.6,3,,7.5
29.03.2014,7.4,-4.0,-0.2,993.0,4,7,-4.4
30.03.2014,5.0,-4.3,0.9,1000.6,5,1,-4.1
31.03.2014,11.5,-0.4,5.4,1000.9,4,0,1.4
01.04.2014,14.0,1.1,7.8,996.9,4,,3.9
02.04.2014,3.7,-3.7,1.3,1004.1,2,3,-1.7
03.04.2014,7.2,-5.9,1.7,1011.6,1,0,-0.8
04.04.2014,11.7,-2.4,6.5,1006.3,3,,3.1
05.04.2014,9.9,0.0,6.1,1005.5,4,2,2.1
06.04.2014,9.9,-3.6,4.1,1016.6,2,0,0.9
07.04.2014,18.4,-1.4,10.3,1005.9,3,,6.9
08.04.2014,18.4,7.8,12.6,1000.8,2,1,10.8
09.04.2014,17.2,5.5,12.2,1000.3,3,0,9.8
10.04.2014,19.7,5.5,12.7,1002.2,3,0,10.3
11.04.2014,3.9,2.7,3.4,1012.0,6,0,-1.7
12.04.2014,12.2,3.2,7.6,1011.6,6,0,2.5
13.04.2014,12.0,5.2,8.9,1007.7,2,0,7.0
14.04.2014,17.4,4.3,12.4,1006.5,2,0,10.6
15.04.2014,13.4,8.5,10.8,1007.3,2,16,9.4
16.04.2014,15.9,7.2,11.3,1008.3,3,0,9.0
17.04.2014,20.4,6.2,13.9,1008.3,3,0,11.7
18.04.2014,21.9,7.9,15.8,1003.7,4,0,13.0
19.04.2014,23.2,8.7,16.7,1003.9,3,0,15.0
20.04.2014,15.5,8.4,12.5,1004.4,2,5,11.4
21.04.2014,11.7,7.0,10.5,1006.3,1,4,9.9
22.04.2014,20.2,9.1,14.8,1006.9,2,0,13.8
23.04.2014,18.7,11.0,15.1,1004.5,2,0,14.1
24.04.2014,18.9,6.7,14.0,1006.6,3,2,11.8
25.04.2014,14.7,2.5,9.2,1010.0,3,0,6.1
26.04.2014,15.7,2.8,10.1,1005.4,3,0,7.1
27.04.2014,19.2,5.8,13.3,1008.4,3,0,10.6
28.04.2014,20.2,7.4,14.3,1002.3,4,0,11.4
29.04.2014,20.7,9.5,14.6,996.5,3,2,13.0
30.04.2014,19.7,10.4,14.8,998.7,3,0,13.2
01.05.2014,21.9,9.2,16.7,998.6,2,,16.1
02.05.2014,18.7,12.2,15.4,999.8,3,6,14.0
03.05.2014,20.5,10.7,15.4,1002.2,3,,13.9
04.05.2014,21.7,8.3,16.7,1004.3,1,0,16.5
05.05.2014,22.7,13.1,17.9,998.2,2,,17.5
06.05.2014,18.7,10.4,14.3,1005.4,2,1,13.6
07.05.2014,16.5,7.9,12.1,1015.7,3,0,9.4
08.05.2014,17.7,7.3,12.8,1012.9,4,0,9.5
09.05.2014,25.2,8.0,18.3,1003.1,2,0,17.3
10.05.2014,27.7,13.4,20.3,999.5,2,,20.4
11.05.2014,25.9,13.9,20.7,1003.7,2,20,21.0
12.05.2014,25.2,15.2,19.3,1002.6,2,1,19.6
13.05.2014,20.0,13.3,17.1,1004.2,1,22,18.0
14.05.2014,21.4,13.6,17.6,1004.9,1,1,18.3
15.05.2014,28.4,12.7,20.9,1002.0,1,0,21.6
16.05.2014,32.2,13.1,23.2,1001.5,1,0,23.9
17.05.2014,33.4,16.4,25.0,1001.3,3,0,24.3
18.05.2014,32.9,15.8,24.4,1000.9,2,0,24.3
19.05.2014,30.7,15.7,22.0,1005.1,2,0,22.0
20.05.2014,28.7,16.0,22.0,1007.4,3,0,20.6
21.05.2014,27.7,12.5,19.9,1008.9,3,0,17.7
22.05.2014,27.9,10.8,20.7,1007.1,3,0,18.7
23.05.2014,29.2,15.6,22.4,1004.6,3,0,20.6
24.05.2014,27.2,14.3,21.4,1004.2,3,0,19.9
25.05.2014,29.2,15.6,22.1,1000.8,2,,22.1
26.05.2014,22.9,17.4,19.3,997.9,3,14,19.3
27.05.2014,26.2,17.0,19.8,995.7,3,7,19.7
28.05.2014,25.4,16.7,20.2,996.7,3,1,20.2
29.05.2014,27.0,16.0,21.6,1000.9,2,14,22.1
30.05.2014,28.0,15.7,22.9,1001.5,2,0,23.5
31.05.2014,27.7,17.7,23.0,999.2,4,0,22.0
01.06.2014,29.2,18.0,23.1,998.9,4,,21.8
02.06.2014,27.5,17.0,21.2,1001.1,4,0,18.9
03.06.2014,27.9,14.2,21.1,1002.4,4,0,18.7
04.06.2014,29.2,11.0,21.2,1005.9,2,0,20.2
05.06.2014,32.4,12.7,24.2,1001.0,4,0,21.4
06.06.2014,33.7,14.9,24.7,998.6,3,0,23.0
07.06.2014,31.7,17.0,24.6,999.5,2,0,23.8
08.06.2014,28.9,17.7,22.9,1001.8,1,,23.4
09.06.2014,26.2,16.5,22.0,1002.4,2,0,22.2
10.06.2014,27.9,15.9,22.0,999.0,2,1,22.3
