date,min_temp,max_temp,avg_temp,atm_pressure,wind_speed,downfall,eff_temp
15.05.1934,20.0,10.0,15.0,,3,0,
20.05.1934,17.2,6.1,11.1,,5,0,
22.05.1934,25.0,6.1,14.0,,2,0,
28.05.1934,16.1,3.9,9.9,,1,0,
30.05.1934,18.9,2.2,13.3,,2,,
03.06.1934,21.1,6.1,14.7,,1,0,
04.06.1934,27.8,7.2,18.1,,3,0,
04.08.1934,22.8,10.0,14.7,,3,0,
16.08.1934,22.8,12.2,16.9,,1,0,
17.08.1934,25.0,10.0,18.5,,2,0,
10.09.1934,12.2,-1.1,5.3,,5,0,
12.09.1934,10.0,2.2,5.0,,3,0,
14.09.1934,17.8,0.0,5.6,,2,,
18.09.1934,10.0,3.9,7.9,,2,,
30.09.1934,15.0,2.8,8.1,,4,0,
10.10.1934,-2.8,-7.2,-5.0,,6,0,
17.10.1934,13.9,-5.0,3.8,,2,0,
25.10.1934,7.2,-8.9,-1.8,,0,0,
26.10.1934,-3.9,-10.0,-6.9,,5,0,
01.11.1934,6.1,-10.0,-5.3,,1,0,
05.11.1934,11.1,-5.0,1.5,,3,0,
08.11.1934,-5.0,-8.9,-7.2,,1,0,
10.11.1934,3.9,-5.0,-0.8,,4,0,
14.11.1934,3.9,-18.9,-3.8,,5,0,
16.11.1934,-10.0,-15.0,-12.2,,7,0,
18.11.1934,6.1,-15.0,-1.4,,10,0,
19.11.1934,0.0,-7.8,-3.8,,8,0,
20.11.1934,0.0,-5.0,-1.8,,13,0,
21.11.1934,0.0,-8.9,-4.0,,5,0,
22.11.1934,0.0,-15.0,-8.5,,4,,
23.11.1934,-15.0,-26.1,-18.8,,2,,
29.11.1934,-15.0,-22.8,-17.9,,1,,
02.12.1934,-16.1,-27.2,-20.0,,0,0,
03.12.1934,-1.1,-20.0,-10.2,,0,0,
05.12.1934,-2.8,-13.9,-7.9,,1,0,
10.12.1934,-12.2,-28.9,-19.7,,6,0,
11.12.1934,-7.2,-20.0,-11.9,,2,0,
13.12.1934,-20.0,-25.0,-21.4,,1,0,
16.12.1934,-5.0,-7.8,-5.6,,5,0,
26.12.1934,-23.9,-31.1,-28.2,,1,0,
27.12.1934,-15.0,-32.8,-24.3,,2,0,
09.05.1935,10.0,2.2,5.7,,4,0,
10.05.1935,10.0,1.1,4.4,,2,0,
13.05.1935,20.0,5.0,13.1,,1,0,
17.05.1935,18.9,3.9,11.0,,5,,
18.05.1935,8.9,2.2,5.0,,2,,
19.05.1935,7.8,2.2,5.1,,8,,
20.05.1935,10.0,3.9,6.4,,9,0,
21.05.1935,13.9,2.2,7.9,,4,0,
22.05.1935,16.1,2.2,11.1,,7,0,
24.05.1935,11.1,-1.1,5.7,,4,0,
31.05.1935,18.9,7.2,12.5,,1,0,
09.06.1935,17.2,10.0,14.8,,5,,
10.06.1935,17.8,7.8,13.1,,3,,
15.06.1935,27.8,10.0,21.1,,1,0,
17.06.1935,25.0,12.8,19.2,,3,0,
18.06.1935,26.1,12.2,19.8,,2,0,
21.06.1935,25.0,12.8,18.8,,2,0,
23.06.1935,17.8,8.9,13.5,,1,0,
24.06.1935,26.1,6.1,18.1,,1,0,
25.06.1935,27.8,10.0,19.0,,5,,
26.06.1935,26.1,10.0,20.7,,2,,
27.06.1935,30.0,16.1,23.5,,1,0,
29.06.1935,20.0,12.8,15.7,,,,
07.07.1935,23.9,15.0,19.7,,1,0,
09.07.1935,27.2,12.8,21.2,,5,0,
11.07.1935,35.0,13.9,26.2,,1,0,
14.07.1935,33.9,21.1,26.5,,3,0,
15.07.1935,27.2,20.0,23.6,,,,
16.07.1935,25.0,13.9,18.6,,6,0,
20.07.1935,27.8,17.2,21.8,,3,0,
26.07.1935,20.0,11.1,16.1,,1,0,
27.07.1935,20.0,12.2,16.9,,2,,
30.07.1935,27.2,8.9,20.4,,2,0,
01.08.1935,32.2,7.8,21.1,,5,0,
02.08.1935,25.0,16.1,19.2,,3,0,
05.08.1935,26.1,12.2,19.4,,4,0,
06.08.1935,28.9,12.8,20.0,,1,,
07.08.1935,25.0,16.1,19.7,,1,,
08.08.1935,23.9,13.9,18.6,,1,0,
10.08.1935,26.1,12.8,19.7,,2,0,
14.08.1935,27.8,10.0,19.8,,,0,
15.08.1935,27.2,13.9,17.8,,3,0,
16.08.1935,17.8,10.0,13.3,,2,,
19.08.1935,27.2,10.0,18.6,,1,0,
20.08.1935,20.0,11.1,14.0,,8,0,
21.08.1935,17.2,11.1,14.0,,3,,
25.08.1935,20.0,6.1,11.7,,2,0,
01.09.1935,10.0,7.2,9.4,,2,,
03.09.1935,16.1,5.0,10.0,,7,0,
04.09.1935,16.1,3.9,11.1,,4,,
07.09.1935,15.0,10.0,11.2,,3,,
08.09.1935,15.0,7.8,11.5,,3,,
10.09.1935,15.0,2.2,6.8,,1,0,
11.09.1935,13.9,1.1,8.8,,1,0,
12.09.1935,20.0,2.2,10.7,,1,0,
17.09.1935,16.1,6.1,10.7,,3,0,
20.09.1935,16.1,3.9,9.4,,4,,
25.09.1935,23.9,6.1,16.1,,6,,
01.10.1935,12.2,-2.8,6.2,,1,0,
02.10.1935,17.2,-2.2,6.0,,1,0,
03.10.1935,15.0,1.1,5.6,,2,0,
07.10.1935,16.1,-5.0,7.2,,1,0,
08.10.1935,15.0,7.2,10.7,,7,0,
09.10.1935,7.8,1.1,5.0,,4,,
11.10.1935,13.9,-2.2,6.0,,10,0,
15.10.1935,10.0,-1.1,5.6,,2,0,
19.10.1935,2.8,-5.0,0.7,,1,0,
24.10.1935,2.8,1.1,1.7,,1,,
25.10.1935,10.0,1.1,7.9,,5,,
29.10.1935,-7.8,-17.2,-13.3,,6,0,
01.11.1935,-11.1,-18.9,-15.3,,4,0,
02.11.1935,-11.1,-22.8,-15.7,,1,0,
03.11.1935,-6.1,-17.2,-8.3,,10,,
06.11.1935,1.1,-2.2,-1.1,,8,,
07.11.1935,2.8,-3.9,-0.4,,9,0,
10.11.1935,0.0,-10.0,-8.8,,3,0,
12.11.1935,-12.8,-17.2,-16.1,,1,,
13.11.1935,-13.9,-22.2,-18.6,,1,,
14.11.1935,-17.2,-26.1,-19.7,,1,,
15.11.1935,-6.1,-15.0,-11.4,,1,0,
16.11.1935,-5.0,-13.9,-7.2,,1,0,
17.11.1935,-2.2,-15.0,-6.4,,5,0,
18.11.1935,-1.1,-17.8,-11.0,,2,0,
19.11.1935,-15.0,-23.9,-18.5,,1,0,
22.11.1935,-7.8,-32.2,-16.0,,3,0,
23.11.1935,-5.0,-12.8,-8.2,,5,0,
24.11.1935,-7.8,-17.2,-13.5,,1,0,
25.11.1935,-6.1,-25.0,-15.7,,1,0,
26.11.1935,-10.0,-20.0,-13.9,,1,,
29.11.1935,-20.0,-26.1,-22.8,,1,,
02.01.1936,-6.1,-11.1,-8.1,,4,,
06.01.1936,-5.0,-11.1,-8.2,,5,0,
07.01.1936,-3.9,-12.8,-6.9,,2,0,
11.01.1936,-10.0,-22.8,-15.7,,7,0,
12.01.1936,-12.8,-26.1,-18.1,,7,0,
14.01.1936,-25.0,-33.9,-29.7,,,,
19.01.1936,-30.0,-37.2,-33.8,,5,0,
20.01.1936,-27.8,-36.1,-32.7,,0,0,
21.01.1936,-30.0,-36.1,-32.2,,0,0,
25.01.1936,-3.9,-15.0,-7.4,,10,0,
26.01.1936,-17.2,-27.8,-22.4,,3,,
29.01.1936,-22.2,-31.1,-25.2,,1,0,
30.01.1936,-16.1,-26.1,-20.4,,0,,
29.02.1936,-22.8,-37.8,-31.4,,1,0,
01.03.1936,-20.0,-36.1,-28.8,,1,0,
05.03.1936,-20.0,-33.9,-25.7,,1,0,
06.03.1936,-15.0,-27.2,-20.3,,1,0,
08.03.1936,-1.1,-20.0,-8.1,,4,0,
10.03.1936,-11.1,-21.1,-13.4,,5,0,
11.03.1936,-7.8,-18.9,-15.2,,7,0,
13.03.1936,0.0,-8.9,-3.5,,9,0,
14.03.1936,-1.1,-10.0,-6.7,,2,0,
15.03.1936,-3.9,-18.9,-10.7,,1,,
16.03.1936,-8.9,-22.2,-15.4,,,0,
19.03.1936,-2.2,-10.0,-6.9,,4,0,
21.03.1936,-2.2,-12.8,-7.9,,1,0,
23.03.1936,2.2,-11.1,-3.5,,1,0,
24.03.1936,7.8,-8.9,0.6,,1,0,
26.03.1936,2.2,-11.1,-5.6,,1,0,
27.03.1936,1.1,-12.8,-6.7,,1,0,
